Company Name,Industry,Symbol,Series,ISIN Code
GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,FERTILISERS & PESTICIDES,GSFC,EQ,INE026A01025
HAVELLS INDIA LIMITED,CONSUMER GOODS,HAVELLS,EQ,INE176B01034
HCL TECHNOLOGIES LTD,IT,HCLTECH,EQ,INE860A01027
HDFC BANK LTD,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01026
HDFC LTD,FINANCIAL SERVICES,HDFC,EQ,INE001A01036
HERO MOTOCORP LIMITED,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
HEXAWARE TECHNOLOGIES LTD,IT,HEXAWARE,EQ,INE093A01033
HINDALCO INDUSTRIES LTD,METALS,HINDALCO,EQ,INE038A01020
HINDUSTAN PETROLEUM CORP,ENERGY,HINDPETRO,EQ,INE094A01015
HINDUSTAN UNILEVER LTD.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
HINDUSTAN ZINC LIMITED,METALS,HINDZINC,EQ,INE267A01025
ICICI BANK LTD.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,FINANCIAL SERVICES,ICICIPRULI,EQ,INE726G01019
IDBI BANK LIMITED,FINANCIAL SERVICES,IDBI,EQ,INE008A01015
IDEA CELLULAR LIMITED,TELECOM,IDEA,EQ,INE669E01016
IDFC BANK LIMITED,FINANCIAL SERVICES,IDFCBANK,EQ,INE092T01019
IDFC LIMITED,FINANCIAL SERVICES,IDFC,EQ,INE043D01016
IFCI LTD,FINANCIAL SERVICES,IFCI,EQ,INE039A01010
INDIABULLS HSG FIN LTD,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
INDIAN BANK,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011
INDIAN OIL CORP LTD,ENERGY,IOC,EQ,INE242A01010
INDRAPRASTHA GAS LTD,ENERGY,IGL,EQ,INE203G01027
INDUSIND BANK LIMITED,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
INFIBEAM INCORPORATION LIMITED,IT,INFIBEAM,EQ,INE483S01020
INFOSYS LIMITED,IT,INFY,EQ,INE009A01021
INTERGLOBE AVIATION LIMITED,SERVICES,INDIGO,EQ,INE646L01027
IRB INFRA DEV LTD.,CONSTRUCTION,IRB,EQ,INE821I01014
ITC LTD,CONSUMER GOODS,ITC,EQ,INE154A01025
JAIN IRRIGATION SYSTEMS,INDUSTRIAL MANUFACTURING,JISLJALEQS,EQ,INE175A01038
JAIPRAKASH ASSOCIATES LTD,CEMENT & CEMENT PRODUCTS,JPASSOCIAT,EQ,INE455F01025
JET AIRWAYS (INDIA) LTD.,SERVICES,JETAIRWAYS,EQ,INE802G01018
JINDAL STEEL & POWER LTD,METALS,JINDALSTEL,EQ,INE749A01030
JSW STEEL LIMITED,METALS,JSWSTEEL,EQ,INE019A01038
JUBILANT FOODWORKS LTD,CONSUMER GOODS,JUBLFOOD,EQ,INE797F01012
JUSTDIAL LTD.,IT,JUSTDIAL,EQ,INE599M01018
KAJARIA CERAMICS LIMITED,CONSTRUCTION,KAJARIACER,EQ,INE217B01036
KARNATAKA BANK LIMITED,FINANCIAL SERVICES,KTKBANK,EQ,INE614B01018
KAVERI SEED CO. LTD.,CONSUMER GOODS,KSCL,EQ,INE455I01029
KOTAK MAHINDRA BANK LTD,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028
KPIT TECHNOLOGIES LTD,IT,KPIT,EQ,INE836A01035
L&T FINANCE HOLDINGS LTD,FINANCIAL SERVICES,L&TFH,EQ,INE498L01015
LARSEN & TOUBRO LTD.,CONSTRUCTION,LT,EQ,INE018A01030
LIC HOUSING FINANCE LTD,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026
LUPIN LIMITED,PHARMA,LUPIN,EQ,INE326A01037
M&M FIN. SERVICES LTD,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
MAHANAGAR GAS LIMITED,ENERGY,MGL,EQ,INE002S01010
MAHINDRA & MAHINDRA LTD,AUTOMOBILE,M&M,EQ,INE101A01026
MANAPPURAM FINANCE LIMITED,FINANCIAL SERVICES,MANAPPURAM,EQ,INE522D01027
MANGALORE REFINERY AND PETROCHEMICALS LIMITED,ENERGY,MRPL,EQ,INE103A01014
MARICO LIMITED,CONSUMER GOODS,MARICO,EQ,INE196A01026
MARUTI SUZUKI INDIA LTD.,AUTOMOBILE,MARUTI,EQ,INE585B01010
MAX FINANCIAL SERVICES LIMITED,FINANCIAL SERVICES,MFSL,EQ,INE180A01020
MINDTREE LIMITED,IT,MINDTREE,EQ,INE018I01017
MOTHERSON SUMI SYSTEMS LT,AUTOMOBILE,MOTHERSUMI,EQ,INE775A01035
MRF LTD,AUTOMOBILE,MRF,EQ,INE883A01011
MULTI COMMODITY EXCHANGE OF INDIA LIMITED,FINANCIAL SERVICES,MCX,EQ,INE745G01035
MUTHOOT FINANCE LIMITED,FINANCIAL SERVICES,MUTHOOTFIN,EQ,INE414G01012
NATIONAL ALUMINIUM COMPANY LIMITED,METALS,NATIONALUM,EQ,INE139A01034
NBCC (INDIA) LIMITED,CONSTRUCTION,NBCC,EQ,INE095N01031
NCC LIMITED,CONSTRUCTION,NCC,EQ,INE868B01028
NESTLE INDIA LIMITED,CONSUMER GOODS,NESTLEIND,EQ,INE239A01016
NHPC LTD,ENERGY,NHPC,EQ,INE848E01016
NIIT TECHNOLOGIES LTD,IT,NIITTECH,EQ,INE591G01017
NMDC LTD.,METALS,NMDC,EQ,INE584A01023
NTPC LTD,ENERGY,NTPC,EQ,INE733E01010
OIL AND NATURAL GAS CORP.,ENERGY,ONGC,EQ,INE213A01029
OIL INDIA LTD,ENERGY,OIL,EQ,INE274J01014
ORACLE FIN SERV SOFT LTD.,IT,OFSS,EQ,INE881D01027
ORIENTAL BANK OF COMMERCE,FINANCIAL SERVICES,ORIENTBANK,EQ,INE141A01014
PAGE INDUSTRIES LTD,TEXTILES,PAGEIND,EQ,INE761H01022
PC JEWELLER LTD,CONSUMER GOODS,PCJEWELLER,EQ,INE785M01013
PETRONET LNG LIMITED,ENERGY,PETRONET,EQ,INE347G01014
PIDILITE INDUSTRIES LTD,CHEMICALS,PIDILITIND,EQ,INE318A01026
PIRAMAL ENTERPRISES LIMITED,PHARMA,PEL,EQ,INE140A01024
POWER FIN CORP LTD.,FINANCIAL SERVICES,PFC,EQ,INE134E01011
POWER GRID CORP. LTD.,ENERGY,POWERGRID,EQ,INE752E01010
PTC INDIA LIMITED,ENERGY,PTC,EQ,INE877F01012
PUNJAB NATIONAL BANK,FINANCIAL SERVICES,PNB,EQ,INE160A01022
PVR LIMITED,MEDIA & ENTERTAINMENT,PVR,EQ,INE191H01014
RAYMOND LIMITED,TEXTILES,RAYMOND,EQ,INE301A01014
RBL BANK LIMITED,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028
RELIANCE CAPITAL LTD,FINANCIAL SERVICES,RELCAPITAL,EQ,INE013A01015
RELIANCE COMMUNICATIONS L,TELECOM,RCOM,EQ,INE330H01018
RELIANCE INDUSTRIES LTD,ENERGY,RELIANCE,EQ,INE002A01018
RELIANCE INFRASTRUCTU LTD,ENERGY,RELINFRA,EQ,INE036A01016
RELIANCE POWER LTD.,ENERGY,RPOWER,EQ,INE614G01033
REPCO HOME FINANCE LIMITED,FINANCIAL SERVICES,REPCOHOME,EQ,INE612J01015
RURAL ELEC CORP. LTD.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
SHREE CEMENTS LIMITED,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015
SHRIRAM TRANSPORT FIN CO.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013
SIEMENS LTD,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024
SREI INFRASTRUCTURE FINANCE LIMITED,FINANCIAL SERVICES,SREINFRA,EQ,INE872A01014
SRF LTD,TEXTILES,SRF,EQ,INE647A01010
STATE BANK OF INDIA,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
STEEL AUTHORITY OF INDIA,METALS,SAIL,EQ,INE114A01011
STRIDES SHASUN LIMITED,PHARMA,STAR,EQ,INE939A01011
SUN PHARMACEUTICALS IND.,PHARMA,SUNPHARMA,EQ,INE044A01036
SUN TV NETWORK LIMITED,MEDIA & ENTERTAINMENT,SUNTV,EQ,INE424H01027
SUZLON ENERGY LIMITED,INDUSTRIAL MANUFACTURING,SUZLON,EQ,INE040H01021
SYNDICATE BANK,FINANCIAL SERVICES,SYNDIBANK,EQ,INE667A01018
TATA CHEMICALS LTD,CHEMICALS,TATACHEM,EQ,INE092A01019
TATA COMMUNICATIONS LTD,TELECOM,TATACOMM,EQ,INE151A01013
TATA CONSULTANCY SERV LT,IT,TCS,EQ,INE467B01029
TATA ELXSI LIMITED,IT,TATAELXSI,EQ,INE670A01012
TATA GLOBAL BEVERAGES LTD,CONSUMER GOODS,TATAGLOBAL,EQ,INE192A01025
TATA MOTORS DVR 'A' ORD,AUTOMOBILE,TATAMTRDVR,EQ,IN9155A01020
TATA MOTORS LIMITED,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022
TATA POWER CO LTD,ENERGY,TATAPOWER,EQ,INE245A01021
TATA STEEL LIMITED,METALS,TATASTEEL,EQ,INE081A01012
TECH MAHINDRA LIMITED,IT,TECHM,EQ,INE669C01036
THE INDIA CEMENTS LIMITED,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
THE RAMCO CEMENTS LIMITED,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037
THE SOUTH INDIAN BANK LTD,FINANCIAL SERVICES,SOUTHBANK,EQ,INE683A01023
TITAN COMPANY LIMITED,CONSUMER GOODS,TITAN,EQ,INE280A01028
TORRENT PHARMACEUTICALS L,PHARMA,TORNTPHARM,EQ,INE685A01028
TORRENT POWER LTD,ENERGY,TORNTPOWER,EQ,INE813H01021
TV18 BROADCAST LIMITED,MEDIA & ENTERTAINMENT,TV18BRDCST,EQ,INE886H01027
TVS MOTOR COMPANY LTD,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
UJJIVAN FINANCIAL SERVICES LIMITED,FINANCIAL SERVICES,UJJIVAN,EQ,INE334L01012
ULTRATECH CEMENT LIMITED,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011
UNION BANK OF INDIA,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
UNITED BREWERIES LTD,CONSUMER GOODS,UBL,EQ,INE686F01025
UNITED SPIRITS LIMITED,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01024
UPL LIMITED,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036
VEDANTA LIMITED,METALS,VEDL,EQ,INE205A01025
V-GUARD INDUSTRIES LIMITED,INDUSTRIAL MANUFACTURING,VGUARD,EQ,INE951I01027
VOLTAS LTD,CONSTRUCTION,VOLTAS,EQ,INE226A01021
WIPRO LTD,IT,WIPRO,EQ,INE075A01022
WOCKHARDT LIMITED,PHARMA,WOCKPHARMA,EQ,INE049B01025
YES BANK LIMITED,FINANCIAL SERVICES,YESBANK,EQ,INE528G01027
ZEE ENTERTAINMENT ENT LTD,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028
